State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,VIZIANAGARAM,Bajra,2003-04,Kharif,1565,Hectare,2038,Tonnes,1.302236422
Andhra Pradesh,WARANGAL,Bajra,2001-02,Kharif,55,Hectare,26,Tonnes,0.4727272727
Andhra Pradesh,WARANGAL,Bajra,2002-03,Kharif,49,Hectare,23,Tonnes,0.4693877551
Andhra Pradesh,WARANGAL,Bajra,2003-04,Kharif,62,Hectare,38,Tonnes,0.6129032258
Andhra Pradesh,WARANGAL,Bajra,2003-04,Rabi,290,Hectare,177,Tonnes,0.6103448276
Andhra Pradesh,WEST GODAVARI,Bajra,2003-04,Kharif,75,Hectare,102,Tonnes,1.36
Andhra Pradesh,ADILABAD,Banana,2001-02,Whole Year,225,Hectare,5063,Tonnes,22.50222222
Andhra Pradesh,ADILABAD,Banana,2002-03,Whole Year,13,Hectare,317,Tonnes,24.38461538
Andhra Pradesh,ADILABAD,Banana,2003-04,Whole Year,110,Hectare,1540,Tonnes,14
Andhra Pradesh,ANANTAPUR,Banana,2001-02,Whole Year,1582,Hectare,462,Tonnes,0.2920353982
Andhra Pradesh,ANANTAPUR,Banana,2002-03,Whole Year,19,Hectare,1006,Tonnes,52.94736842
Andhra Pradesh,ANANTAPUR,Banana,2003-04,Whole Year,36,Hectare,1302,Tonnes,36.16666667
Andhra Pradesh,CHITTOOR,Banana,2001-02,Whole Year,1005,Hectare,7156,Tonnes,7.12039801
Andhra Pradesh,CHITTOOR,Banana,2002-03,Whole Year,960,Hectare,50841,Tonnes,52.959375
Andhra Pradesh,CHITTOOR,Banana,2003-04,Whole Year,587,Hectare,21222,Tonnes,36.15332198
Andhra Pradesh,EAST GODAVARI,Banana,2001-02,Whole Year,10258,Hectare,122822,Tonnes,11.97328914
Andhra Pradesh,EAST GODAVARI,Banana,2002-03,Whole Year,7949,Hectare,116270,Tonnes,14.62699711
Andhra Pradesh,EAST GODAVARI,Banana,2003-04,Whole Year,9547,Hectare,67488,Tonnes,7.069026919
Andhra Pradesh,GUNTUR,Banana,2001-02,Whole Year,7967,Hectare,204939,Tonnes,25.72348437
Andhra Pradesh,GUNTUR,Banana,2002-03,Whole Year,6720,Hectare,151697,Tonnes,22.57395833
Andhra Pradesh,GUNTUR,Banana,2003-04,Whole Year,5681,Hectare,42238,Tonnes,7.434958634
Andhra Pradesh,KADAPA,Banana,2001-02,Whole Year,4074,Hectare,132748,Tonnes,32.58419244
Andhra Pradesh,KADAPA,Banana,2002-03,Whole Year,4574,Hectare,299574,Tonnes,65.49497158
Andhra Pradesh,KADAPA,Banana,2003-04,Whole Year,3771,Hectare,158827,Tonnes,42.11800583
Andhra Pradesh,KARIMNAGAR,Banana,2001-02,Whole Year,1,Hectare,,Tonnes,0
Andhra Pradesh,KARIMNAGAR,Banana,2002-03,Whole Year,9,Hectare,220,Tonnes,24.44444444
Andhra Pradesh,KHAMMAM,Banana,2001-02,Whole Year,673,Hectare,13682,Tonnes,20.32986627
Andhra Pradesh,KHAMMAM,Banana,2002-03,Whole Year,735,Hectare,17937,Tonnes,24.40408163
Andhra Pradesh,KHAMMAM,Banana,2003-04,Whole Year,859,Hectare,12028,Tonnes,14.00232829
Andhra Pradesh,KRISHNA,Banana,2001-02,Whole Year,1556,Hectare,3946,Tonnes,2.535989717
Andhra Pradesh,KRISHNA,Banana,2002-03,Whole Year,1346,Hectare,20586,Tonnes,15.29420505
Andhra Pradesh,KRISHNA,Banana,2003-04,Whole Year,1249,Hectare,15574,Tonnes,12.46917534
Andhra Pradesh,KURNOOL,Banana,2001-02,Whole Year,2704,Hectare,29845,Tonnes,11.03735207
Andhra Pradesh,KURNOOL,Banana,2002-03,Whole Year,1862,Hectare,49164,Tonnes,26.40386681
Andhra Pradesh,KURNOOL,Banana,2003-04,Whole Year,2960,Hectare,23820,Tonnes,8.047297297
Andhra Pradesh,MAHBUBNAGAR,Banana,2001-02,Whole Year,12,Hectare,,Tonnes,0
Andhra Pradesh,MEDAK,Banana,2001-02,Whole Year,527,Hectare,2160,Tonnes,4.098671727
Andhra Pradesh,MEDAK,Banana,2002-03,Whole Year,297,Hectare,7248,Tonnes,24.4040404
Andhra Pradesh,MEDAK,Banana,2003-04,Whole Year,121,Hectare,1694,Tonnes,14
Andhra Pradesh,NALGONDA,Banana,2001-02,Whole Year,9,Hectare,,Tonnes,0
Andhra Pradesh,NALGONDA,Banana,2002-03,Whole Year,3,Hectare,73,Tonnes,24.33333333
Andhra Pradesh,NIZAMABAD,Banana,2001-02,Whole Year,398,Hectare,2070,Tonnes,5.201005025
Andhra Pradesh,NIZAMABAD,Banana,2002-03,Whole Year,405,Hectare,9884,Tonnes,24.40493827
Andhra Pradesh,NIZAMABAD,Banana,2003-04,Whole Year,360,Hectare,5041,Tonnes,14.00277778
Andhra Pradesh,PRAKASAM,Banana,2001-02,Whole Year,511,Hectare,8370,Tonnes,16.37964775
Andhra Pradesh,PRAKASAM,Banana,2002-03,Whole Year,538,Hectare,10429,Tonnes,19.38475836
Andhra Pradesh,PRAKASAM,Banana,2003-04,Whole Year,82,Hectare,794,Tonnes,9.682926829
Andhra Pradesh,RANGAREDDI,Banana,2001-02,Whole Year,249,Hectare,3533,Tonnes,14.18875502
Andhra Pradesh,RANGAREDDI,Banana,2002-03,Whole Year,204,Hectare,4978,Tonnes,24.40196078
Andhra Pradesh,RANGAREDDI,Banana,2003-04,Whole Year,86,Hectare,1204,Tonnes,14
Andhra Pradesh,SPSR NELLORE,Banana,2001-02,Whole Year,479,Hectare,8030,Tonnes,16.76409186
Andhra Pradesh,SPSR NELLORE,Banana,2002-03,Whole Year,521,Hectare,10099,Tonnes,19.38387716
Andhra Pradesh,SPSR NELLORE,Banana,2003-04,Whole Year,485,Hectare,4699,Tonnes,9.688659794
Andhra Pradesh,SRIKAKULAM,Banana,2001-02,Whole Year,1132,Hectare,14223,Tonnes,12.56448763
Andhra Pradesh,SRIKAKULAM,Banana,2002-03,Whole Year,765,Hectare,14829,Tonnes,19.38431373
Andhra Pradesh,SRIKAKULAM,Banana,2003-04,Whole Year,535,Hectare,3003,Tonnes,5.613084112
Andhra Pradesh,VISAKHAPATANAM,Banana,2001-02,Whole Year,2431,Hectare,18798,Tonnes,7.732620321
Andhra Pradesh,VISAKHAPATANAM,Banana,2002-03,Whole Year,1594,Hectare,27219,Tonnes,17.07590966
Andhra Pradesh,VISAKHAPATANAM,Banana,2003-04,Whole Year,1452,Hectare,17908,Tonnes,12.33333333
Andhra Pradesh,VIZIANAGARAM,Banana,2001-02,Whole Year,6173,Hectare,77495,Tonnes,12.5538636
Andhra Pradesh,VIZIANAGARAM,Banana,2002-03,Whole Year,4684,Hectare,97277,Tonnes,20.76793339
Andhra Pradesh,VIZIANAGARAM,Banana,2003-04,Whole Year,4645,Hectare,106645,Tonnes,22.9590958
Andhra Pradesh,WARANGAL,Banana,2001-02,Whole Year,277,Hectare,6233,Tonnes,22.50180505
Andhra Pradesh,WARANGAL,Banana,2002-03,Whole Year,609,Hectare,14862,Tonnes,24.40394089
Andhra Pradesh,WARANGAL,Banana,2003-04,Whole Year,436,Hectare,6105,Tonnes,14.00229358
Andhra Pradesh,WEST GODAVARI,Banana,2001-02,Whole Year,8264,Hectare,99790,Tonnes,12.07526621
Andhra Pradesh,WEST GODAVARI,Banana,2002-03,Whole Year,5547,Hectare,123149,Tonnes,22.20100955
Andhra Pradesh,WEST GODAVARI,Banana,2003-04,Whole Year,5712,Hectare,24247,Tonnes,4.244922969
Andhra Pradesh,ADILABAD,Cashewnut,2001-02,Whole Year,24,Hectare,2,Tonnes,0.08333333333
Andhra Pradesh,ADILABAD,Cashewnut,2002-03,Whole Year,86,Hectare,19,Tonnes,0.2209302326
Andhra Pradesh,ADILABAD,Cashewnut,2003-04,Whole Year,24,Hectare,4,Tonnes,0.1666666667
Andhra Pradesh,CHITTOOR,Cashewnut,2001-02,Whole Year,126,Hectare,34,Tonnes,0.2698412698
Andhra Pradesh,CHITTOOR,Cashewnut,2002-03,Whole Year,121,Hectare,15,Tonnes,0.1239669421
Andhra Pradesh,CHITTOOR,Cashewnut,2003-04,Whole Year,124,Hectare,33,Tonnes,0.2661290323
Andhra Pradesh,EAST GODAVARI,Cashewnut,2001-02,Whole Year,34634,Hectare,5151,Tonnes,0.1487266848
Andhra Pradesh,EAST GODAVARI,Cashewnut,2002-03,Whole Year,34227,Hectare,975,Tonnes,0.02848628276
Andhra Pradesh,EAST GODAVARI,Cashewnut,2003-04,Whole Year,34019,Hectare,3304,Tonnes,0.09712219642
Andhra Pradesh,GUNTUR,Cashewnut,2001-02,Whole Year,150,Hectare,41,Tonnes,0.2733333333
Andhra Pradesh,GUNTUR,Cashewnut,2002-03,Whole Year,150,Hectare,19,Tonnes,0.1266666667
Andhra Pradesh,GUNTUR,Cashewnut,2003-04,Whole Year,150,Hectare,40,Tonnes,0.2666666667
Andhra Pradesh,KADAPA,Cashewnut,2001-02,Whole Year,7,Hectare,2,Tonnes,0.2857142857
Andhra Pradesh,KADAPA,Cashewnut,2002-03,Whole Year,7,Hectare,1,Tonnes,0.1428571429
Andhra Pradesh,KADAPA,Cashewnut,2003-04,Whole Year,7,Hectare,2,Tonnes,0.2857142857
Andhra Pradesh,KHAMMAM,Cashewnut,2001-02,Whole Year,10314,Hectare,1082,Tonnes,0.1049059531
Andhra Pradesh,KHAMMAM,Cashewnut,2002-03,Whole Year,10618,Hectare,2334,Tonnes,0.2198154078
Andhra Pradesh,KHAMMAM,Cashewnut,2003-04,Whole Year,10477,Hectare,1836,Tonnes,0.1752410041
Andhra Pradesh,KRISHNA,Cashewnut,2001-02,Whole Year,803,Hectare,220,Tonnes,0.2739726027
Andhra Pradesh,KRISHNA,Cashewnut,2002-03,Whole Year,478,Hectare,59,Tonnes,0.1234309623
Andhra Pradesh,KRISHNA,Cashewnut,2003-04,Whole Year,355,Hectare,95,Tonnes,0.2676056338
