State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Rajasthan,AJMER,Maize,2003-04,Kharif,38700,Hectare,63604,Tonnes,1.643514212
Rajasthan,ALWAR,Maize,2001-02,Kharif,11750,Hectare,17965,Tonnes,1.52893617
Rajasthan,ALWAR,Maize,2002-03,Kharif,8572,Hectare,1654,Tonnes,0.1929538031
Rajasthan,ALWAR,Maize,2003-04,Kharif,9754,Hectare,13491,Tonnes,1.383124872
Rajasthan,BANSWARA,Maize,2001-02,Kharif,123667,Hectare,165672,Tonnes,1.339662157
Rajasthan,BANSWARA,Maize,2002-03,Kharif,134222,Hectare,182899,Tonnes,1.362660369
Rajasthan,BANSWARA,Maize,2003-04,Kharif,140568,Hectare,283645,Tonnes,2.017849013
Rajasthan,BARAN,Maize,2001-02,Kharif,23906,Hectare,35666,Tonnes,1.491926713
Rajasthan,BARAN,Maize,2002-03,Kharif,27884,Hectare,34719,Tonnes,1.245122651
Rajasthan,BARAN,Maize,2003-04,Kharif,41481,Hectare,51976,Tonnes,1.253007401
Rajasthan,BARMER,Maize,2001-02,Kharif,111,Hectare,161,Tonnes,1.45045045
Rajasthan,BARMER,Maize,2002-03,Kharif,9,Hectare,8,Tonnes,0.8888888889
Rajasthan,BARMER,Maize,2003-04,Kharif,30,Hectare,55,Tonnes,1.833333333
Rajasthan,BHARATPUR,Maize,2001-02,Kharif,69,Hectare,100,Tonnes,1.449275362
Rajasthan,BHARATPUR,Maize,2002-03,Kharif,72,Hectare,64,Tonnes,0.8888888889
Rajasthan,BHARATPUR,Maize,2003-04,Kharif,34,Hectare,63,Tonnes,1.852941176
Rajasthan,BHILWARA,Maize,2001-02,Kharif,173359,Hectare,270772,Tonnes,1.56191487
Rajasthan,BHILWARA,Maize,2002-03,Kharif,153637,Hectare,40935,Tonnes,0.2664397248
Rajasthan,BHILWARA,Maize,2003-04,Kharif,181310,Hectare,300900,Tonnes,1.65958855
Rajasthan,BIKANER,Maize,2001-02,Kharif,1,Hectare,1,Tonnes,1
Rajasthan,BUNDI,Maize,2001-02,Kharif,37301,Hectare,55817,Tonnes,1.496394199
Rajasthan,BUNDI,Maize,2002-03,Kharif,32775,Hectare,14207,Tonnes,0.4334706331
Rajasthan,BUNDI,Maize,2003-04,Kharif,44477,Hectare,80721,Tonnes,1.814893091
Rajasthan,CHITTORGARH,Maize,2001-02,Kharif,162354,Hectare,293150,Tonnes,1.805622282
Rajasthan,CHITTORGARH,Maize,2002-03,Kharif,156526,Hectare,186039,Tonnes,1.188550145
Rajasthan,CHITTORGARH,Maize,2003-04,Kharif,174714,Hectare,374056,Tonnes,2.1409618
Rajasthan,CHURU,Maize,2001-02,Kharif,1,Hectare,1,Tonnes,1
Rajasthan,CHURU,Maize,2003-04,Kharif,1,Hectare,2,Tonnes,2
Rajasthan,DAUSA,Maize,2001-02,Kharif,2967,Hectare,4313,Tonnes,1.453656892
Rajasthan,DAUSA,Maize,2002-03,Kharif,1759,Hectare,1556,Tonnes,0.884593519
Rajasthan,DAUSA,Maize,2003-04,Kharif,2092,Hectare,3898,Tonnes,1.863288719
Rajasthan,DHOLPUR,Maize,2001-02,Kharif,25,Hectare,36,Tonnes,1.44
Rajasthan,DHOLPUR,Maize,2002-03,Kharif,14,Hectare,12,Tonnes,0.8571428571
Rajasthan,DHOLPUR,Maize,2003-04,Kharif,10,Hectare,19,Tonnes,1.9
Rajasthan,DUNGARPUR,Maize,2001-02,Kharif,68679,Hectare,56223,Tonnes,0.8186345171
Rajasthan,DUNGARPUR,Maize,2002-03,Kharif,75292,Hectare,64043,Tonnes,0.8505950167
Rajasthan,DUNGARPUR,Maize,2003-04,Kharif,75310,Hectare,88762,Tonnes,1.178621697
Rajasthan,GANGANAGAR,Maize,2001-02,Kharif,72,Hectare,105,Tonnes,1.458333333
Rajasthan,GANGANAGAR,Maize,2002-03,Kharif,5,Hectare,5,Tonnes,1
Rajasthan,GANGANAGAR,Maize,2003-04,Kharif,54,Hectare,101,Tonnes,1.87037037
Rajasthan,HANUMANGARH,Maize,2001-02,Kharif,1,Hectare,1,Tonnes,1
Rajasthan,HANUMANGARH,Maize,2002-03,Kharif,8,Hectare,7,Tonnes,0.875
Rajasthan,HANUMANGARH,Maize,2003-04,Kharif,14,Hectare,26,Tonnes,1.857142857
Rajasthan,JAIPUR,Maize,2001-02,Kharif,8722,Hectare,9994,Tonnes,1.145838111
Rajasthan,JAIPUR,Maize,2002-03,Kharif,6150,Hectare,3186,Tonnes,0.5180487805
Rajasthan,JAIPUR,Maize,2003-04,Kharif,7003,Hectare,11404,Tonnes,1.628444952
Rajasthan,JAISALMER,Maize,2001-02,Kharif,9,Hectare,13,Tonnes,1.444444444
Rajasthan,JALORE,Maize,2001-02,Kharif,112,Hectare,163,Tonnes,1.455357143
Rajasthan,JALORE,Maize,2002-03,Kharif,63,Hectare,56,Tonnes,0.8888888889
Rajasthan,JALORE,Maize,2003-04,Kharif,56,Hectare,104,Tonnes,1.857142857
Rajasthan,JHALAWAR,Maize,2001-02,Kharif,44339,Hectare,55629,Tonnes,1.254629108
Rajasthan,JHALAWAR,Maize,2002-03,Kharif,52415,Hectare,65493,Tonnes,1.249508728
Rajasthan,JHALAWAR,Maize,2003-04,Kharif,64815,Hectare,148082,Tonnes,2.284687187
Rajasthan,JHUNJHUNU,Maize,2002-03,Kharif,3,Hectare,3,Tonnes,1
Rajasthan,JODHPUR,Maize,2001-02,Kharif,9,Hectare,13,Tonnes,1.444444444
Rajasthan,JODHPUR,Maize,2002-03,Kharif,9,Hectare,8,Tonnes,0.8888888889
Rajasthan,JODHPUR,Maize,2003-04,Kharif,6,Hectare,11,Tonnes,1.833333333
Rajasthan,KARAULI,Maize,2001-02,Kharif,546,Hectare,794,Tonnes,1.454212454
Rajasthan,KARAULI,Maize,2002-03,Kharif,225,Hectare,199,Tonnes,0.8844444444
Rajasthan,KARAULI,Maize,2003-04,Kharif,220,Hectare,410,Tonnes,1.863636364
Rajasthan,KOTA,Maize,2001-02,Kharif,7962,Hectare,12183,Tonnes,1.53014318
Rajasthan,KOTA,Maize,2002-03,Kharif,8374,Hectare,8469,Tonnes,1.011344638
Rajasthan,KOTA,Maize,2003-04,Kharif,12552,Hectare,20492,Tonnes,1.632568515
Rajasthan,NAGAUR,Maize,2001-02,Kharif,385,Hectare,560,Tonnes,1.454545455
Rajasthan,NAGAUR,Maize,2002-03,Kharif,189,Hectare,167,Tonnes,0.8835978836
Rajasthan,NAGAUR,Maize,2003-04,Kharif,170,Hectare,317,Tonnes,1.864705882
Rajasthan,PALI,Maize,2001-02,Kharif,24719,Hectare,27613,Tonnes,1.117075933
Rajasthan,PALI,Maize,2002-03,Kharif,21635,Hectare,2757,Tonnes,0.1274324012
Rajasthan,PALI,Maize,2003-04,Kharif,25273,Hectare,45674,Tonnes,1.807225102
Rajasthan,RAJSAMAND,Maize,2001-02,Kharif,64082,Hectare,99863,Tonnes,1.558362723
Rajasthan,RAJSAMAND,Maize,2002-03,Kharif,60776,Hectare,21981,Tonnes,0.3616723707
Rajasthan,RAJSAMAND,Maize,2003-04,Kharif,63802,Hectare,141289,Tonnes,2.214491709
Rajasthan,SAWAI MADHOPUR,Maize,2001-02,Kharif,917,Hectare,1333,Tonnes,1.453653217
Rajasthan,SAWAI MADHOPUR,Maize,2002-03,Kharif,788,Hectare,697,Tonnes,0.8845177665
Rajasthan,SAWAI MADHOPUR,Maize,2003-04,Kharif,934,Hectare,1740,Tonnes,1.862955032
Rajasthan,SIKAR,Maize,2001-02,Kharif,92,Hectare,134,Tonnes,1.456521739
Rajasthan,SIKAR,Maize,2002-03,Kharif,26,Hectare,23,Tonnes,0.8846153846
Rajasthan,SIKAR,Maize,2003-04,Kharif,17,Hectare,32,Tonnes,1.882352941
Rajasthan,SIROHI,Maize,2001-02,Kharif,27498,Hectare,50357,Tonnes,1.831296822
Rajasthan,SIROHI,Maize,2002-03,Kharif,27803,Hectare,8219,Tonnes,0.2956155811
Rajasthan,SIROHI,Maize,2003-04,Kharif,30647,Hectare,55814,Tonnes,1.821189676
Rajasthan,TONK,Maize,2001-02,Kharif,17297,Hectare,18410,Tonnes,1.064346418
Rajasthan,TONK,Maize,2002-03,Kharif,14746,Hectare,1030,Tonnes,0.0698494507
Rajasthan,TONK,Maize,2003-04,Kharif,16362,Hectare,22596,Tonnes,1.381004767
Rajasthan,UDAIPUR,Maize,2001-02,Kharif,176751,Hectare,261178,Tonnes,1.477660664
Rajasthan,UDAIPUR,Maize,2002-03,Kharif,172056,Hectare,230069,Tonnes,1.337175106
Rajasthan,UDAIPUR,Maize,2003-04,Kharif,180249,Hectare,360103,Tonnes,1.997808587
Rajasthan,AJMER,Masoor,2001-02,Rabi,10,Hectare,10,Tonnes,1
Rajasthan,AJMER,Masoor,2003-04,Rabi,2,Hectare,2,Tonnes,1
Rajasthan,ALWAR,Masoor,2001-02,Rabi,74,Hectare,40,Tonnes,0.5405405405
Rajasthan,ALWAR,Masoor,2002-03,Rabi,9,Hectare,9,Tonnes,1
Rajasthan,ALWAR,Masoor,2003-04,Rabi,90,Hectare,111,Tonnes,1.233333333
Rajasthan,BANSWARA,Masoor,2001-02,Rabi,17,Hectare,16,Tonnes,0.9411764706
Rajasthan,BANSWARA,Masoor,2002-03,Rabi,4,Hectare,4,Tonnes,1
Rajasthan,BANSWARA,Masoor,2003-04,Rabi,19,Hectare,24,Tonnes,1.263157895
Rajasthan,BARAN,Masoor,2001-02,Rabi,226,Hectare,279,Tonnes,1.234513274
Rajasthan,BARAN,Masoor,2002-03,Rabi,53,Hectare,71,Tonnes,1.339622642
Rajasthan,BARAN,Masoor,2003-04,Rabi,170,Hectare,210,Tonnes,1.235294118
Rajasthan,BHARATPUR,Masoor,2001-02,Rabi,3631,Hectare,5187,Tonnes,1.428532085
Rajasthan,BHARATPUR,Masoor,2002-03,Rabi,1468,Hectare,1612,Tonnes,1.098092643
Rajasthan,BHARATPUR,Masoor,2003-04,Rabi,15089,Hectare,21306,Tonnes,1.412022003
Rajasthan,BHILWARA,Masoor,2001-02,Rabi,3115,Hectare,3618,Tonnes,1.161476726
Rajasthan,BHILWARA,Masoor,2002-03,Rabi,1755,Hectare,1897,Tonnes,1.080911681
Rajasthan,BHILWARA,Masoor,2003-04,Rabi,3838,Hectare,3754,Tonnes,0.9781136008
Rajasthan,BIKANER,Masoor,2001-02,Rabi,1,Hectare,,Tonnes,0
Rajasthan,BIKANER,Masoor,2003-04,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,BUNDI,Masoor,2001-02,Rabi,2598,Hectare,2598,Tonnes,1
Rajasthan,BUNDI,Masoor,2002-03,Rabi,1213,Hectare,904,Tonnes,0.7452596867
Rajasthan,BUNDI,Masoor,2003-04,Rabi,3048,Hectare,3411,Tonnes,1.119094488
Rajasthan,CHITTORGARH,Masoor,2001-02,Rabi,1848,Hectare,1336,Tonnes,0.7229437229
Rajasthan,CHITTORGARH,Masoor,2002-03,Rabi,338,Hectare,227,Tonnes,0.6715976331
Rajasthan,CHITTORGARH,Masoor,2003-04,Rabi,1518,Hectare,1096,Tonnes,0.722002635
Rajasthan,CHURU,Masoor,2001-02,Rabi,3,Hectare,8,Tonnes,2.666666667
Rajasthan,DAUSA,Masoor,2001-02,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,DAUSA,Masoor,2003-04,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,DHOLPUR,Masoor,2001-02,Rabi,18,Hectare,12,Tonnes,0.6666666667
Rajasthan,DHOLPUR,Masoor,2002-03,Rabi,17,Hectare,15,Tonnes,0.8823529412
Rajasthan,DHOLPUR,Masoor,2003-04,Rabi,38,Hectare,47,Tonnes,1.236842105
Rajasthan,GANGANAGAR,Masoor,2001-02,Rabi,30,Hectare,28,Tonnes,0.9333333333
Rajasthan,GANGANAGAR,Masoor,2002-03,Rabi,22,Hectare,22,Tonnes,1
Rajasthan,GANGANAGAR,Masoor,2003-04,Rabi,17,Hectare,21,Tonnes,1.235294118
Rajasthan,HANUMANGARH,Masoor,2001-02,Rabi,3,Hectare,1,Tonnes,0.3333333333
Rajasthan,HANUMANGARH,Masoor,2002-03,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,JAIPUR,Masoor,2001-02,Rabi,3,Hectare,3,Tonnes,1
Rajasthan,JAIPUR,Masoor,2002-03,Rabi,1,Hectare,2,Tonnes,2
Rajasthan,JAIPUR,Masoor,2003-04,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,JAISALMER,Masoor,2002-03,Rabi,3,Hectare,,Tonnes,0
Rajasthan,JHALAWAR,Masoor,2001-02,Rabi,5161,Hectare,1949,Tonnes,0.3776399922
Rajasthan,JHALAWAR,Masoor,2002-03,Rabi,849,Hectare,842,Tonnes,0.9917550059
Rajasthan,JHALAWAR,Masoor,2003-04,Rabi,2130,Hectare,2117,Tonnes,0.9938967136
Rajasthan,KARAULI,Masoor,2003-04,Rabi,2,Hectare,2,Tonnes,1
Rajasthan,KOTA,Masoor,2001-02,Rabi,133,Hectare,245,Tonnes,1.842105263
Rajasthan,KOTA,Masoor,2002-03,Rabi,109,Hectare,119,Tonnes,1.091743119
Rajasthan,KOTA,Masoor,2003-04,Rabi,77,Hectare,95,Tonnes,1.233766234
Rajasthan,PALI,Masoor,2001-02,Rabi,1,Hectare,1,Tonnes,1
Rajasthan,PALI,Masoor,2003-04,Rabi,15,Hectare,19,Tonnes,1.266666667
Rajasthan,SAWAI MADHOPUR,Masoor,2001-02,Rabi,48,Hectare,43,Tonnes,0.8958333333
Rajasthan,SAWAI MADHOPUR,Masoor,2002-03,Rabi,5,Hectare,5,Tonnes,1
Rajasthan,SAWAI MADHOPUR,Masoor,2003-04,Rabi,28,Hectare,35,Tonnes,1.25
Rajasthan,TONK,Masoor,2001-02,Rabi,50,Hectare,22,Tonnes,0.44
Rajasthan,TONK,Masoor,2002-03,Rabi,17,Hectare,8,Tonnes,0.4705882353
Rajasthan,TONK,Masoor,2003-04,Rabi,70,Hectare,87,Tonnes,1.242857143
Rajasthan,UDAIPUR,Masoor,2001-02,Rabi,3,Hectare,2,Tonnes,0.6666666667
Rajasthan,CHITTORGARH,Mesta,2001-02,Kharif,17,Hectare,17,Bales,1
Rajasthan,DUNGARPUR,Mesta,2001-02,Kharif,11,Hectare,1,Bales,0.09090909091
Rajasthan,DUNGARPUR,Mesta,2002-03,Kharif,2,Hectare,,Bales,0
Rajasthan,SIROHI,Mesta,2002-03,Kharif,2,Hectare,,Bales,0
Rajasthan,AJMER,Moong(Green Gram),2001-02,Kharif,61145,Hectare,17827,Tonnes,0.2915528661
Rajasthan,AJMER,Moong(Green Gram),2002-03,Kharif,68183,Hectare,5351,Tonnes,0.07847997301
Rajasthan,AJMER,Moong(Green Gram),2003-04,Kharif,78430,Hectare,46325,Tonnes,0.5906540864
Rajasthan,ALWAR,Moong(Green Gram),2001-02,Kharif,135,Hectare,40,Tonnes,0.2962962963
Rajasthan,ALWAR,Moong(Green Gram),2002-03,Kharif,28,Hectare,2,Tonnes,0.07142857143
Rajasthan,ALWAR,Moong(Green Gram),2003-04,Kharif,41,Hectare,25,Tonnes,0.6097560976
Rajasthan,BANSWARA,Moong(Green Gram),2001-02,Kharif,44,Hectare,13,Tonnes,0.2954545455
Rajasthan,BANSWARA,Moong(Green Gram),2002-03,Kharif,73,Hectare,5,Tonnes,0.06849315068
Rajasthan,BANSWARA,Moong(Green Gram),2003-04,Kharif,114,Hectare,71,Tonnes,0.6228070175
Rajasthan,BARAN,Moong(Green Gram),2001-02,Kharif,200,Hectare,59,Tonnes,0.295
Rajasthan,BARAN,Moong(Green Gram),2002-03,Kharif,179,Hectare,11,Tonnes,0.06145251397
Rajasthan,BARAN,Moong(Green Gram),2003-04,Kharif,140,Hectare,87,Tonnes,0.6214285714
Rajasthan,BARMER,Moong(Green Gram),2001-02,Kharif,56377,Hectare,7566,Tonnes,0.1342036646
Rajasthan,BARMER,Moong(Green Gram),2002-03,Kharif,33217,Hectare,2096,Tonnes,0.06310021977
Rajasthan,BARMER,Moong(Green Gram),2003-04,Kharif,54703,Hectare,34584,Tonnes,0.6322139554
Rajasthan,BHARATPUR,Moong(Green Gram),2001-02,Kharif,88,Hectare,26,Tonnes,0.2954545455
Rajasthan,BHARATPUR,Moong(Green Gram),2002-03,Kharif,18,Hectare,1,Tonnes,0.05555555556
Rajasthan,BHARATPUR,Moong(Green Gram),2003-04,Kharif,43,Hectare,27,Tonnes,0.6279069767
Rajasthan,BHILWARA,Moong(Green Gram),2001-02,Kharif,11180,Hectare,4986,Tonnes,0.4459749553
Rajasthan,BHILWARA,Moong(Green Gram),2002-03,Kharif,9524,Hectare,104,Tonnes,0.0109197816
Rajasthan,BHILWARA,Moong(Green Gram),2003-04,Kharif,14523,Hectare,8881,Tonnes,0.6115127728
Rajasthan,BIKANER,Moong(Green Gram),2001-02,Kharif,2757,Hectare,814,Tonnes,0.2952484585
Rajasthan,BIKANER,Moong(Green Gram),2002-03,Kharif,1175,Hectare,74,Tonnes,0.0629787234
Rajasthan,BIKANER,Moong(Green Gram),2003-04,Kharif,3330,Hectare,2064,Tonnes,0.6198198198
Rajasthan,BUNDI,Moong(Green Gram),2001-02,Kharif,414,Hectare,122,Tonnes,0.2946859903
Rajasthan,BUNDI,Moong(Green Gram),2002-03,Kharif,134,Hectare,8,Tonnes,0.05970149254
Rajasthan,BUNDI,Moong(Green Gram),2003-04,Kharif,242,Hectare,150,Tonnes,0.6198347107
Rajasthan,CHITTORGARH,Moong(Green Gram),2001-02,Kharif,676,Hectare,199,Tonnes,0.2943786982
Rajasthan,CHITTORGARH,Moong(Green Gram),2002-03,Kharif,665,Hectare,42,Tonnes,0.06315789474
Rajasthan,CHITTORGARH,Moong(Green Gram),2003-04,Kharif,821,Hectare,509,Tonnes,0.6199756395
Rajasthan,CHURU,Moong(Green Gram),2001-02,Kharif,39751,Hectare,36603,Tonnes,0.9208070237
Rajasthan,CHURU,Moong(Green Gram),2002-03,Kharif,28352,Hectare,,Tonnes,0
Rajasthan,CHURU,Moong(Green Gram),2003-04,Kharif,53004,Hectare,44563,Tonnes,0.8407478681
Rajasthan,DAUSA,Moong(Green Gram),2001-02,Kharif,159,Hectare,47,Tonnes,0.2955974843
Rajasthan,DAUSA,Moong(Green Gram),2002-03,Kharif,96,Hectare,6,Tonnes,0.0625
Rajasthan,DAUSA,Moong(Green Gram),2003-04,Kharif,98,Hectare,61,Tonnes,0.6224489796
Rajasthan,DHOLPUR,Moong(Green Gram),2001-02,Kharif,176,Hectare,52,Tonnes,0.2954545455
Rajasthan,DHOLPUR,Moong(Green Gram),2002-03,Kharif,74,Hectare,5,Tonnes,0.06756756757
Rajasthan,DHOLPUR,Moong(Green Gram),2003-04,Kharif,106,Hectare,66,Tonnes,0.6226415094
Rajasthan,DUNGARPUR,Moong(Green Gram),2001-02,Kharif,94,Hectare,28,Tonnes,0.2978723404
Rajasthan,DUNGARPUR,Moong(Green Gram),2002-03,Kharif,33,Hectare,2,Tonnes,0.06060606061
Rajasthan,DUNGARPUR,Moong(Green Gram),2003-04,Kharif,34,Hectare,21,Tonnes,0.6176470588
Rajasthan,GANGANAGAR,Moong(Green Gram),2001-02,Kharif,10979,Hectare,1988,Tonnes,0.1810729575
Rajasthan,GANGANAGAR,Moong(Green Gram),2002-03,Kharif,4551,Hectare,1373,Tonnes,0.3016919358
Rajasthan,GANGANAGAR,Moong(Green Gram),2003-04,Kharif,10022,Hectare,7316,Tonnes,0.7299940132
Rajasthan,HANUMANGARH,Moong(Green Gram),2001-02,Kharif,6877,Hectare,2029,Tonnes,0.2950414425
Rajasthan,HANUMANGARH,Moong(Green Gram),2002-03,Kharif,6337,Hectare,1757,Tonnes,0.2772605334
Rajasthan,HANUMANGARH,Moong(Green Gram),2003-04,Kharif,12668,Hectare,8186,Tonnes,0.6461951374
Rajasthan,JAIPUR,Moong(Green Gram),2001-02,Kharif,34285,Hectare,21846,Tonnes,0.6371882748
Rajasthan,JAIPUR,Moong(Green Gram),2002-03,Kharif,63008,Hectare,764,Tonnes,0.01212544439
Rajasthan,JAIPUR,Moong(Green Gram),2003-04,Kharif,60872,Hectare,51609,Tonnes,0.8478282297
Rajasthan,JAISALMER,Moong(Green Gram),2001-02,Kharif,1708,Hectare,504,Tonnes,0.2950819672
Rajasthan,JAISALMER,Moong(Green Gram),2002-03,Kharif,2162,Hectare,136,Tonnes,0.06290471785
Rajasthan,JAISALMER,Moong(Green Gram),2003-04,Kharif,4612,Hectare,2859,Tonnes,0.6199045967
Rajasthan,JALORE,Moong(Green Gram),2001-02,Kharif,67790,Hectare,17800,Tonnes,0.2625756011
Rajasthan,JALORE,Moong(Green Gram),2002-03,Kharif,49422,Hectare,410,Tonnes,0.008295900611
Rajasthan,JALORE,Moong(Green Gram),2003-04,Kharif,76523,Hectare,58299,Tonnes,0.7618493786
Rajasthan,JHALAWAR,Moong(Green Gram),2001-02,Kharif,287,Hectare,85,Tonnes,0.2961672474
Rajasthan,JHALAWAR,Moong(Green Gram),2002-03,Kharif,340,Hectare,21,Tonnes,0.06176470588
Rajasthan,JHALAWAR,Moong(Green Gram),2003-04,Kharif,351,Hectare,218,Tonnes,0.6210826211
Rajasthan,JHUNJHUNU,Moong(Green Gram),2001-02,Kharif,33036,Hectare,8360,Tonnes,0.2530572709
Rajasthan,JHUNJHUNU,Moong(Green Gram),2002-03,Kharif,10229,Hectare,1219,Tonnes,0.1191709845
Rajasthan,JHUNJHUNU,Moong(Green Gram),2003-04,Kharif,34309,Hectare,14539,Tonnes,0.4237663587
Rajasthan,JODHPUR,Moong(Green Gram),2001-02,Kharif,84031,Hectare,23262,Tonnes,0.2768264093
Rajasthan,JODHPUR,Moong(Green Gram),2002-03,Kharif,3650,Hectare,349,Tonnes,0.09561643836
Rajasthan,JODHPUR,Moong(Green Gram),2003-04,Kharif,91132,Hectare,37581,Tonnes,0.4123798446
Rajasthan,KARAULI,Moong(Green Gram),2001-02,Kharif,19,Hectare,6,Tonnes,0.3157894737
Rajasthan,KARAULI,Moong(Green Gram),2002-03,Kharif,12,Hectare,1,Tonnes,0.08333333333
Rajasthan,KARAULI,Moong(Green Gram),2003-04,Kharif,9,Hectare,6,Tonnes,0.6666666667
Rajasthan,KOTA,Moong(Green Gram),2001-02,Kharif,712,Hectare,210,Tonnes,0.2949438202
Rajasthan,KOTA,Moong(Green Gram),2002-03,Kharif,443,Hectare,28,Tonnes,0.06320541761
Rajasthan,KOTA,Moong(Green Gram),2003-04,Kharif,542,Hectare,336,Tonnes,0.6199261993
Rajasthan,NAGAUR,Moong(Green Gram),2001-02,Kharif,171510,Hectare,38146,Tonnes,0.2224126873
Rajasthan,NAGAUR,Moong(Green Gram),2002-03,Kharif,105915,Hectare,12394,Tonnes,0.1170183638
Rajasthan,NAGAUR,Moong(Green Gram),2003-04,Kharif,177627,Hectare,103477,Tonnes,0.5825522021
Rajasthan,PALI,Moong(Green Gram),2001-02,Kharif,39927,Hectare,8846,Tonnes,0.2215543367
Rajasthan,PALI,Moong(Green Gram),2002-03,Kharif,45640,Hectare,,Tonnes,0
Rajasthan,PALI,Moong(Green Gram),2003-04,Kharif,59104,Hectare,39297,Tonnes,0.6648788576
Rajasthan,RAJSAMAND,Moong(Green Gram),2001-02,Kharif,811,Hectare,239,Tonnes,0.2946979038
Rajasthan,RAJSAMAND,Moong(Green Gram),2002-03,Kharif,679,Hectare,43,Tonnes,0.06332842415
Rajasthan,RAJSAMAND,Moong(Green Gram),2003-04,Kharif,855,Hectare,530,Tonnes,0.6198830409
Rajasthan,SAWAI MADHOPUR,Moong(Green Gram),2001-02,Kharif,398,Hectare,117,Tonnes,0.2939698492
Rajasthan,SAWAI MADHOPUR,Moong(Green Gram),2002-03,Kharif,222,Hectare,14,Tonnes,0.06306306306
Rajasthan,SAWAI MADHOPUR,Moong(Green Gram),2003-04,Kharif,475,Hectare,294,Tonnes,0.6189473684
Rajasthan,SIKAR,Moong(Green Gram),2001-02,Kharif,15797,Hectare,2993,Tonnes,0.1894663544
Rajasthan,SIKAR,Moong(Green Gram),2002-03,Kharif,7153,Hectare,646,Tonnes,0.0903117573
Rajasthan,SIKAR,Moong(Green Gram),2003-04,Kharif,15590,Hectare,7964,Tonnes,0.5108402822
Rajasthan,SIROHI,Moong(Green Gram),2001-02,Kharif,6344,Hectare,1488,Tonnes,0.2345523329
Rajasthan,SIROHI,Moong(Green Gram),2002-03,Kharif,7705,Hectare,1087,Tonnes,0.1410772226
Rajasthan,SIROHI,Moong(Green Gram),2003-04,Kharif,9585,Hectare,7041,Tonnes,0.7345852895
Rajasthan,TONK,Moong(Green Gram),2001-02,Kharif,54257,Hectare,10836,Tonnes,0.1997161657
Rajasthan,TONK,Moong(Green Gram),2002-03,Kharif,65202,Hectare,4506,Tonnes,0.06910830956
Rajasthan,TONK,Moong(Green Gram),2003-04,Kharif,68449,Hectare,36498,Tonnes,0.5332145101
Rajasthan,UDAIPUR,Moong(Green Gram),2001-02,Kharif,172,Hectare,51,Tonnes,0.2965116279
Rajasthan,UDAIPUR,Moong(Green Gram),2002-03,Kharif,181,Hectare,11,Tonnes,0.06077348066
Rajasthan,UDAIPUR,Moong(Green Gram),2003-04,Kharif,223,Hectare,138,Tonnes,0.6188340807
Rajasthan,AJMER,Moth,2001-02,Kharif,1781,Hectare,225,Tonnes,0.1263335205
Rajasthan,AJMER,Moth,2002-03,Kharif,1073,Hectare,9,Tonnes,0.008387698043
Rajasthan,AJMER,Moth,2003-04,Kharif,2173,Hectare,956,Tonnes,0.4399447768
Rajasthan,ALWAR,Moth,2001-02,Kharif,4,Hectare,1,Tonnes,0.25
Rajasthan,ALWAR,Moth,2002-03,Kharif,1,Hectare,,Tonnes,0
Rajasthan,ALWAR,Moth,2003-04,Kharif,7,Hectare,4,Tonnes,0.5714285714
Rajasthan,BANSWARA,Moth,2001-02,Kharif,21,Hectare,5,Tonnes,0.2380952381
Rajasthan,BANSWARA,Moth,2002-03,Kharif,3,Hectare,,Tonnes,0
Rajasthan,BARMER,Moth,2001-02,Kharif,262866,Hectare,81484,Tonnes,0.3099830332
Rajasthan,BARMER,Moth,2002-03,Kharif,150335,Hectare,,Tonnes,0
Rajasthan,BARMER,Moth,2003-04,Kharif,246825,Hectare,217192,Tonnes,0.8799432797
Rajasthan,BHARATPUR,Moth,2001-02,Kharif,60,Hectare,14,Tonnes,0.2333333333
Rajasthan,BHARATPUR,Moth,2002-03,Kharif,15,Hectare,,Tonnes,0
Rajasthan,BHARATPUR,Moth,2003-04,Kharif,74,Hectare,39,Tonnes,0.527027027
Rajasthan,BHILWARA,Moth,2001-02,Kharif,3,Hectare,1,Tonnes,0.3333333333
Rajasthan,BHILWARA,Moth,2003-04,Kharif,9,Hectare,5,Tonnes,0.5555555556
Rajasthan,BIKANER,Moth,2001-02,Kharif,331151,Hectare,57308,Tonnes,0.1730570042
Rajasthan,BIKANER,Moth,2002-03,Kharif,32658,Hectare,1147,Tonnes,0.03512156286
Rajasthan,BIKANER,Moth,2003-04,Kharif,392651,Hectare,205831,Tonnes,0.5242085211
Rajasthan,CHITTORGARH,Moth,2001-02,Kharif,7,Hectare,2,Tonnes,0.2857142857
Rajasthan,CHURU,Moth,2001-02,Kharif,207503,Hectare,55904,Tonnes,0.2694129723
Rajasthan,CHURU,Moth,2002-03,Kharif,101190,Hectare,,Tonnes,0
Rajasthan,CHURU,Moth,2003-04,Kharif,289402,Hectare,130801,Tonnes,0.4519699242
Rajasthan,DAUSA,Moth,2001-02,Kharif,109,Hectare,26,Tonnes,0.2385321101
Rajasthan,DAUSA,Moth,2002-03,Kharif,77,Hectare,3,Tonnes,0.03896103896
